gen1_ID,MID,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,test_date,test_temp,test_age,rand
1090,118,,9.21.21,,KL,M,N,Y,9/21/21,,,0.71355586
1091,118,8.27.21,,,KL,,,N,,,,0.236168943
1092,118,,9.27.21,,KL,M,Y,Y,9/27/21,,,0.29983852
1093,118,8.29.21,,,KL,,,N,,,,0.765627975
1094,118,,,,KL,,,N,,,,0.628473966
1095,118,,,,KL,,,N,,,,0.450257855
1096,211,,,,KL,,,N,,,,0.869235188
1097,211,,,,KL,,,N,,,,0.266524441
1098,211,,,,KL,,,N,,,,0.453780212
1099,211,,,,KL,,,N,,,,0.10362743
1100,211,,,,KL,,,N,,,,0.357460716
1101,211,,,,KL,,,N,,,,0.067932693
1102,211,,,,KL,,,N,,,,0.059887183
1103,211,,,,KL,,,N,,,,0.949260409
1104,114,hatch_date,9.27.21,,KL,M,N,Y,9/27/21,,,0.574750958
1105,114,,9.25.21,,KL,F,N,Y,9/25/21,,,0.033149469
1106,114,8.29.21,,9.11.21,KL,,,Y,,,,0.233570354
1107,114,8.29.21,9.29.21,10.05.21,KL,M,N,Y,9/29/21,,,0.278358552
1108,114,8.29.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.527674991
1109,114,8.29.21,10.01.21,,KL,F,N,Y,10/01/21,,,0.994787038
1110,114,8.29.21,,,KL,,,N,,,,0.522967686
1111,114,8.29.21,10.04.21,,KL,F,N,Y,10/04/21,,,0.379947297
1112,114,,9.27.21,10.08.21,KL,M,N,Y,9/27/21,,,0.366147355
1113,114,8.30.21,9.28.21,,KL,F,N,Y,9/28/21,,,0.668284379
1114,114,8.29.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.726486673
1115,114,8.29.21,,,KL,,,N,,,,0.716892379
1116,114,8.29.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.904049128
1117,114,,9.25.21,,KL,M,N,Y,9/25/21,,,0.22325971
1118,114,8.29.21,9.25.21,,KL,F,N,Y,9/25/21,,,0.342190853
1119,114,8.29.21,9.28.21,,KL,M,Y,Y,9/28/21,,,0.168040276
1120,114,8.29.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.802754317
1121,114,8.29.21,9.26.21,,KL,F,N,Y,9/26/21,,,0.784008874
1122,114,8.29.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.235539515
1123,114,8.29.21,9.26.21,,KL,F,N,Y,9/26/21,,,0.067608446
1124,114,8.27.21,,9.21.21,KL,,,Y,,,,0.921766413
1125,114,8.27.21,10.04.21,,KL,M,N,Y,10/04/21,,,0.084620662
1126,119,8.29.21,,,KL,,,,,,,0.483771184
1127,119,8.29.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.727261196
1128,119,,9.23.21,,KL,M,N,Y,9/23/21,,,0.401637084
1129,119,8.26.21,9.23.21,,KL,M,Y,Y,9/23/21,,,0.397288136
1130,119,8.27.21,9.24.21,,KL,F,Y,Y,9/24/21,,,0.139004371
1131,119,8.27.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.116675035
1132,119,8.25.21,,9.1.21,KL,,,Y,,,,0.705211182
1133,119,8.26.21,9.21.21,,KL,F,Y,Y,9/21/21,,,0.058328743
1134,119,,9.23.21,,KL,M,N,Y,9/23/21,,,0.650606512
1135,119,8.25.21,,9.11.21,KL,,,Y,,,,0.69970488
1136,119,8.25.21,9.21.21,,KL,F,Y,Y,9/21/21,,,0.674464194
1137,119,8.26.21,9.21.21,,KL,F,Y,Y,9/21/21,,,0.8295628
1138,119,8.25.21,9.21.21,,KL,M,Y,Y,9/21/21,,,0.245604296
1139,119,8.26.21,9.24.21,,KL,F,N,Y,9/24/21,,,0.209378749
1140,119,8.26.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.173800232
1141,119,8.27.21,9.24.21,,KL,F,N,Y,9/24/21,,,0.975333746
1142,335,8.27.21,9.24.21,,PK,M,N,Y,9/24/21,,,0.952466198
