gen1_ID,MID,hatch_date,wing_date,pop,sex,S.wing,viable,test_date,test_temp,test_age,rand,cohort
1404,329,8.31.21,9.27.21,PK,M,Y,Y,9/27/21,NA,NA,0.510706319,2
1405,329,9.2.21,9.25.21,PK,M,N,Y,9/25/21,NA,NA,0.353875589,2
1416,329,hatch_date,9.25.21,PK,M,N,Y,9/25/21,NA,NA,0.34375694,2
1419,329,9.2.21,9.25.21,PK,F,Y,Y,9/25/21,NA,NA,0.22571946,2
1424,329,9.1.21,9.26.21,PK,F,Y,Y,9/26/21,NA,NA,0.246629221,2
1429,329,9.9.21,9.27.21,PK,F,N,Y,9/27/21,NA,NA,0.564708665,2
1433,329,9.9.21,9.25.21,PK,M,N,Y,9/25/21,NA,NA,0.497742909,2
1437,329,9.2.21,9.27.21,PK,F,N,Y,9/27/21,NA,NA,0.002473451,2
1005,114,8.20.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.206891472,3
1016,114,8.26.21,9.28.21,KL,F,N,Y,9/28/21,NA,NA,0.125701265,3
1055,16,,9.29.21,KL,F,N,Y,9/29/21,NA,NA,0.973070122,3
1060,16,,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.933561661,3
1085,118,8.19.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.610912573,3
1109,114,8.29.21,10.01.21,KL,F,N,Y,10/1/21,NA,NA,0.994787038,3
1113,114,8.30.21,9.28.21,KL,F,N,Y,9/28/21,NA,NA,0.668284379,3
1116,114,8.29.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.904049128,3
1119,114,8.29.21,9.28.21,KL,M,Y,Y,9/28/21,NA,NA,0.168040276,3
1148,335,8.19.21,10.01.21,PK,F,Y,Y,10/1/21,NA,NA,0.695232806,3
1159,329,,9.28.21,PK,M,N,Y,9/28/21,NA,NA,0.570321668,3
1162,329,8.30.21,9.29.21,PK,F,Y,Y,9/29/21,NA,NA,0.305121725,3
1165,329,8.29.21,9.28.21,PK,F,Y,Y,9/28/21,NA,NA,0.740158965,3
1208,114,hatch_date,9.30.21,KL,F,N,Y,9/30/21,NA,NA,0.175086789,3
1210,114,8.29.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.781996907,3
1211,114,9.2.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.031141717,3
1212,114,8.31.21,9.29.21,KL,F,N,Y,9/29/21,NA,NA,0.118484282,3
1213,114,9.2.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.757951414,3
1214,114,8.30.21,9.29.21,KL,F,N,Y,9/29/21,NA,NA,0.037495585,3
1215,114,9.1.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.181138674,3
1218,114,9.2.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.044949138,3
1219,114,9.2.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.549181276,3
1225,114,9.8.21,10.01.21,KL,F,N,Y,10/1/21,NA,NA,0.498284629,3
1227,114,9.1.21,10.01.21,KL,M,N,Y,10/1/21,NA,NA,0.464123743,3
1233,114,9.8.21,9.28.21,KL,F,N,Y,9/28/21,NA,NA,0.372933679,3
1240,114,9.1.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.924611419,3
1249,114,8.30.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.450870647,3
1257,16,9.8.21,9.28.21,KL,M,Y,Y,9/28/21,NA,NA,0.684272684,3
1259,16,9.1.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.205335032,3
1273,16,8.29.21,9.29.21,KL,M,N,Y,9/29/21,NA,NA,0.456504244,3
1274,16,9.2.21,9.30.21,KL,F,N,Y,9/30/21,NA,NA,0.468721507,3
1281,16,9.8.21,9.28.21,KL,M,Y,Y,9/28/21,NA,NA,0.00693024,3
1285,16,9.8.21,9.30.21,KL,M,N,Y,9/30/21,NA,NA,0.745032689,3
1287,16,8.31.21,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.532906475,3
1288,16,8.29.21,10.01.21,KL,F,N,Y,10/1/21,NA,NA,0.69608944,3
1289,16,8.31.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.611784466,3
1291,16,9.1.21,9.29.21,KL,F,N,Y,9/29/21,NA,NA,0.607785532,3
1294,16,8.29.21,9.28.21,KL,F,Y,Y,9/28/21,NA,NA,0.743571207,3
1302,16,,10.01.21,KL,M,N,Y,10/1/21,NA,NA,0.735031864,3
1303,16,,9.28.21,KL,M,Y,Y,9/28/21,NA,NA,0.663293397,3
1312,16,hatch_date,9.28.21,KL,M,N,Y,9/28/21,NA,NA,0.762894975,3
1314,16,9.2.21,9.30.21,KL,F,N,Y,9/30/21,NA,NA,0.466873757,3
