gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,wing_date
1665,329,9.10.21,9.15.21,10.11.21,,PK,M,N,,10.9-10.11,10/11/21
1673,329,9.10.21,9.12.21,10.11.21,,PK,M,N,Y,10.9-10.11,10/11/21
1680,329,9.10.21,9.12.21,10.11.21,,PK,F,N,Y,10.9-10.11,10/11/21
1727,318,9.22.21,?,10.11.21,,PK,M,N,,10.9-10.11,10/11/21
1742,318,9.22.21,?,10.11.21,,PK,M,N,,,10/11/21
1612,329,9.10.21,9.12.21,10.12.21,,PK,F,N,Y,,10/12/21
1664,329,9.10.21,9.16.21,10.12.21,,PK,M,N,,,10/12/21
1685,16,9.10.21,9.12.21,10.12.21,,KL,M,N,Y,,10/12/21
1729,318,9.22.21,?,10.12.21,,PK,F,N,,,10/12/21
1734,318,9.22.21,?,10.12.21,,PK,F,N,,,10/12/21
1536,329,8.31.21,9.9.21,10.13.21,,PK,F,N,Y,,10/13/21
1558.5,16,9.8.21,9.8.21,10.13.21,,KL,M,N,Y,,10/13/21
1565,16,9.8.21,9.8.21,10.13.21,,KL,F,N,Y,,10/13/21
1584,329,9.10.21,9.10.21,10.13.21,,PK,F,N,Y,,10/13/21
1650,329,9.10.21,9.12.21,10.13.21,,PK,M,N,Y,,10/13/21
1686,16,9.10.21,9.12.21,10.13.21,,KL,F,N,Y,,10/13/21
1687,16,9.10.21,9.12.21,10.13.21,,KL,F,N,Y,,10/13/21
1689,16,9.10.21,9.12.21,10.13.21,,KL,M,N,Y,,10/13/21
1329,16,8.27.21,9.9.21,10.14.21,,KL,M,N,Y,,10/14/21
1627,329,9.10.21,9.15.21,10.14.21,,PK,F,N,Y,,10/14/21
1725,318,9.22.21,?,10.14.21,,PK,M,N,,,10/14/21
1735,318,9.22.21,?,10.14.21,,PK,F,N,,,10/14/21
1736,318,9.22.21,?,10.14.21,,PK,F,N,,,10/14/21
1744,318,9.22.21,?,10.14.21,,PK,M,N,,,10/14/21
1745,318,9.22.21,?,10.14.21,,PK,M,N,,,10/14/21
1747,318,9.22.21,?,10.14.21,,PK,M,N,,,10/14/21
1547,329,9.8.21,9.8.21,10.15.21,,PK,F,N,Y,,10/15/21
1605,329,9.10.21,9.15.21,10.15.21,,PK,M,N,Y,,10/15/21
1628,329,9.10.21,9.15.21,10.15.21,,PK,M,N,Y,,10/15/21
1542,114,9.8.21,9.8.21,10.18.21,,KL,F,N,Y,10.16-10.18,10/18/21
1728,318,9.22.21,?,10.18.21,,PK,M,N,,10.16-10.18,10/18/21
1733,318,9.22.21,?,10.18.21,,PK,M,N,,10.16-10.18,10/18/21
1737,318,9.22.21,?,10.18.21,,PK,F,N,,10.16-10.18,10/18/21
1738,318,9.22.21,?,10.18.21,,PK,F,N,,10.16-10.18,10/18/21
1741,318,9.22.21,?,10.18.21,,PK,F,N,,10.16-10.18,10/18/21
1746,318,9.22.21,?,10.18.21,,PK,M,N,,10.16-10.18,10/18/21
1672,16,9.10.21,,10.19.21,,KL,F,N,,,10/19/21
1739,318,9.22.21,?,10.19.21,,PK,F,N,,,10/19/21
1743,318,9.22.21,?,10.19.21,,PK,F,N,,,10/19/21
