ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1665,,,,10/28/21,,,20,70,PK,,,1665,,,
1607,,,,10/28/21,,,20,70,PK,,,1607,,,
1729,,,,10/28/21,,,20,70,PK,,,1729,,,
1612,,,,10/28/21,,,20,70,PK,,,1612,,,
1609,,,,10/28/21,,,20,70,PK,,,1609,,,
1655,,,,10/28/21,,,20,70,PK,,,1655,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
