ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1085,,,,10/20/21,,,20,70,KL,,,1085,,,,22,9/28/21,0.896177228,3,
1219,,,,10/20/21,,,20,70,KL,,,1219,,,,21,9/29/21,0.954766139,3,
1411,,,,10/20/21,,,20,70,PK,,,1411,,,,22,9/28/21,0.589268834,3,
1212,,,,10/20/21,,,20,70,KL,,,1212,,,,21,9/29/21,0.230227305,3,
1386,,,,10/20/21,,,20,70,KL,,,1386,,,,22,9/28/21,0.72552276,3,
1354,,,,10/20/21,,,20,70,KL,,,1354,,,,21,9/29/21,0.945986917,3,
1285,,,,10/20/21,,,20,70,KL,,,1285,,,,20,9/30/21,0.408662327,3,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1353,,,,10/20/21,,,20,70,KL,,,1353,,,,22,9/28/21,0.505040294,3,
1060,,,,10/20/21,,,20,70,KL,,,1060,,,,21,9/29/21,0.413981131,3,
1218,,,,10/20/21,,,20,70,KL,,,1218,,,,21,9/29/21,0.14004166,3,
1274,,,,10/20/21,,,20,70,KL,,,1274,,,,20,9/30/21,0.230411901,3,
1289,,,,10/20/21,,,20,70,KL,,,1289,,,,22,9/28/21,0.781940382,3,
1412,,,,10/20/21,,,20,70,PK,,,1412,,,,22,9/28/21,0.479164814,3,
1225,,,,10/20/21,,,20,70,KL,,,1225,,,,19,10/1/21,0.190903725,3,
1356,,,,10/20/21,,,20,70,KL,,,1356,,,,21,9/29/21,0.241779464,3,
1240,,,,10/20/21,,,20,70,KL,,,1240,,,,22,9/28/21,0.263950542,3,
1352,,,,10/20/21,,,20,70,KL,,,1352,,,,21,9/29/21,0.425659628,3,
1362,,,,10/20/21,,,20,70,KL,,,1362,,,,22,9/28/21,0.423135367,3,
1109,,,,10/20/21,,,20,70,KL,,,1109,,,,19,10/1/21,0.696507066,3,
1398,,,,10/20/21,,,20,70,PK,,,1398,,,,22,9/28/21,0.202894294,3,
1312,,,,10/20/21,,,20,70,KL,,,1312,,,,22,9/28/21,0.94659497,3,
1257,,,,10/20/21,,,20,70,KL,,,1257,,,,22,9/28/21,0.641887913,3,
1213,,,,10/20/21,,,20,70,KL,,,1213,,,,22,9/28/21,0.908962224,3,
1560,,,,10/20/21,,,20,70,KL,,,1560,,,,19,10/1/21,0.78135233,3,
1210,,,,10/20/21,,,20,70,KL,,,1210,,,,22,9/28/21,0.490446365,3,
1281,,,,10/20/21,,,20,70,KL,,,1281,,,,22,9/28/21,0.074158961,3,
1517,,,,10/20/21,,,20,70,PK,,,1517,,,,19,10/1/21,0.701364541,3,
1552,,,,10/20/21,,,20,70,PK,,,1552,,,,20,9/30/21,0.553755622,3,
1259,,,,10/20/21,,,20,70,KL,,,1259,,,,22,9/28/21,0.152932226,3,
1215,,,,10/20/21,,,20,70,KL,,,1215,,,,22,9/28/21,0.785072121,3,
