gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1167,329,8.19.21,8.29.21,,?,PK,,,Y,died before 9.24.21,
1168,329,8.19.21,8.30.21,9.26.21,,PK,F,N,Y,,
1169,329,8.19.21,8.30.21,9.26.21,,PK,F,N,Y,,
1170,329,8.19.21,8.31.21,9.27.21,,PK,F,Y,Y,,
1171,329,8.19.21,,,9.21.21,PK,,,Y,,
1172,329,8.19.21,8.29.21,9.22.21,,PK,F,Y,Y,,
1173,92,8.19.21,8.26.21,,?,GV,,,,died before 9.24.21,
1174,92,8.19.21,8.27.21,,?,GV,,,,died before 9.24.21,
1175,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1176,92,8.19.21,8.27.21,,?,GV,,,,died before 9.24.21,
1177,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1178,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1179,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1180,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1181,92,8.19.21,8.25.21,,?,GV,,,,died before 9.24.21,
1182,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1183,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1184,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1185,92,8.19.21,8.27.21,,8.29.21,GV,,,,killed by accident,
1186,92,8.19.21,8.26.21,,?,GV,,,,died before 9.24.21,
1187,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1188,92,8.19.21,8.27.21,,?,GV,,,,died before 9.24.21,
1189,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1190,92,8.19.21,8.26.21,,?,GV,,,,died before 9.24.21,
1191,92,8.19.21,8.27.21,,9.11.21,GV,,,,died before 9.24.21,
1192,92,8.19.21,8.26.21,,?,GV,,,,died before 9.24.21,
1193,92,8.19.21,8.27.21,,?,GV,,,,died before 9.24.21,
1194,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1195,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1196,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1197,92,8.19.21,8.27.21,,?,GV,,,,died before 9.24.21,
1198,92,8.19.21,8.27.21,,?,GV,,,,died before 9.24.21,
1199,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1200,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1201,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1202,92,8.19.21,,,?,GV,,,,died before 9.24.21,
1203,20,8.25.21,8.25.21,9.25.21,,KL,,,Y,,
1204,20,8.25.21,8.25.21,9.23.21,,KL,,,Y,,
gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1205,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1206,114,8.25.21,8.29.21,9.25.21,,KL,F,N,Y,,
1207,114,8.25.21,9.2.21,,9.11.21,KL,,,Y,,
1208,114,8.25.21,8.31.21,9.30.21,,KL,F,N,Y,,
1209,114,8.25.21,9.2.21,9.26.21,,KL,F,Y,Y,,
1210,114,8.25.21,8.30.21,9.28.21,,KL,M,N,Y,,
1211,114,8.25.21,9.1.21,9.29.21,,KL,M,N,Y,,
1212,114,8.25.21,8.31.21,9.29.21,,KL,F,N,Y,,
1213,114,8.25.21,9.2.21,9.28.21,,KL,F,Y,Y,,
1214,114,8.25.21,9.2.21,9.29.21,,KL,F,N,Y,,
1215,114,8.25.21,9.2.21,9.28.21,,KL,M,N,Y,,
1216,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1217,114,8.25.21,,,,KL,,,,,
1218,114,8.25.21,9.1.21,9.29.21,,KL,M,N,Y,,
1219,114,8.25.21,8.31.21,9.29.21,,KL,M,N,Y,,
1220,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1221,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1222,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1223,114,8.25.21,9.1.21,,,KL,,,Y,,
1224,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1225,114,8.25.21,9.1.21,10.01.21,,KL,F,N,Y,,
1226,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1227,114,8.25.21,9.2.21,10.01.21,,KL,M,N,Y,,
1228,114,8.25.21,9.1.21,9.25.21,,KL,M,Y,Y,,
1229,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1230,114,8.25.21,,,,KL,,,N,,
1231,114,8.25.21,8.31.21,9.27.21,,KL,M,N,Y,,
1232,114,8.25.21,9.8.21,,9.9.21,KL,,,Y,,
1233,114,8.25.21,9.1.21,9.28.21,,KL,F,N,Y,,
1234,114,8.25.21,8.31.21,9.27.21,,KL,M,N,Y,,
1235,114,8.25.21,8.29.21,9.24.21,,KL,F,N,Y,,
1236,114,8.25.21,9.1.21,10.04.21,,KL,M,N,Y,10.2-10.4,
1237,114,8.25.21,,10.04.21,,KL,M,N,,10.2-10.4,
